classify_model/cariver,classify_model/flpalmbeach,classify_model/flsaintlucie,classify_model/codenver4all,classify_model/fl7all,classify_model/castate,classify_model/mistate,classify_model/njstate,classify_model/ohstate,classify_model/pastate,classify_model/instate,classify_model/mdstate,classify_model/txstate,classify_model/ncstate,classify_model/orstate,classify_model/set1,classify_model/set2,classify_model/set3,classify_model/set4,classify_model/set5
ca riverside,fl palm beach,fl saint lucie,co denver,fl marion,ca alpine,mi allegan,nj atlantic,oh adams,pa adams,in adams,md allegany,tx anderson,nc alamance,or baker,id ada,il adams,sc abbeville,ky adair,ut beaver
,,,co arapahoe,fl duval,ca amador,mi cass,nj bergen,oh allen,pa allegheny,in allen,md anne arundel,tx andrews,nc alexander,or benton,id adams,il alexander,sc aiken,ky allen,ut box elder
,,,co jefferson,fl brevard,ca butte,mi clinton,nj burlington,oh ashland,pa armstrong,in bartholomew,md baltimore,tx angelina,nc alleghany,or clackamas,id bannock,il bond,sc allendale,ky anderson,ut cache
,,,co el paso,fl lake,ca glenn,mi eaton,nj camden,oh ashtabula,pa beaver,in benton,md baltimore city,tx aransas,nc anson,or clatsop,id bear lake,il boone,sc anderson,ky ballard,ut carbon
,,,co adams,fl escambia,ca imperial,mi genesee,nj cape may,oh athens,pa bedford,in blackford,md calvert,tx archer,nc ashe,or columbia,id benewah,il brown,sc bamberg,ky barren,ut daggett
,,,co bent,fl baker,ca lassen,mi iosco,nj cumberland,oh auglaize,pa berks,in boone,md caroline,tx armstrong,nc avery,or coos,id bingham,il bureau,sc barnwell,ky bath,ut davis
,,,co chaffee,fl bay,ca plumas,mi ingham,nj essex,oh belmont,pa blair,in brown,md carroll,tx atascosa,nc beaufort,or crook,id blaine,il calhoun,sc beaufort,ky bell,ut duchesne
,,,co clear creek,fl bradford,,mi kalamazoo,nj gloucester,oh brown,pa bradford,in carroll,md cecil,tx austin,nc bertie,or curry,id boise,il carroll,sc berkeley,ky boone,ut emery
,,,co conejos,fl clay,,mi mecosta,nj hudson,oh butler,pa bucks,in cass,md charles,tx bailey,nc bladen,or deschutes,id bonner,il cass,sc calhoun,ky bourbon,ut garfield
,,,co costilla,fl columbia,,mi midland,nj hunterdon,oh carroll,pa butler,in clark,md dorchester,tx bandera,nc brunswick,or douglas,id bonneville,il champaign,sc charleston,ky boyd,ut grand
,,,co delta,fl dixie,,mi monroe,nj mercer,oh champaign,pa cambria,in clay,md frederick,tx bastrop,nc buncombe,or gilliam,id boundary,il christian,sc cherokee,ky boyle,ut iron
,,,co dolores,fl franklin,,mi oceana,nj middlesex,oh clark,pa cameron,in clinton,md garrett,tx baylor,nc burke,or grant,id butte,il clark,sc chester,ky bracken,ut juab
,,,co eagle,fl gilchrist,,mi ottawa,nj monmouth,oh clermont,pa carbon,in crawford,md harford,tx bee,nc cabarrus,or harney,id camas,il clay,sc chesterfield,ky breathitt,ut kane
,,,co elbert,fl glades,,mi saint clair,nj morris,oh clinton,pa centre,in daviess,md howard,tx bell,nc caldwell,or hood river,id canyon,il clinton,sc clarendon,ky breckinridge,ut millard
,,,co fremont,fl hamilton,,mi sanilac,nj ocean,oh columbiana,pa chester,in de kalb,md kent,tx bexar,nc camden,or jackson,id caribou,il coles,sc colleton,ky bullitt,ut morgan
,,,co garfield,fl hendry,,mi van buren,nj passaic,oh coshocton,pa clarion,in dearborn,md montgomery,tx blanco,nc carteret,or jefferson,id cassia,il cook,sc darlington,ky butler,ut piute
