,batchid,92-keyed_values,92-spacy_values,92-match_status,93-keyed_values,93-spacy_values,93-match_status
0,2535475,1451,1451,True,145,145,True
1,2535476,1451,1451,True,149,149,True
2,2535478,1451,1451,True,156,156,True
3,2535479,1451,1451,True,157,157,True
4,2535480,1451,1451,True,158,158,True
5,2535481,1451,1451,True,159,159,True
6,2535482,1451,1451,True,160,160,True
7,2535749,1067,1067,True,728,728,True
8,2535750,1067,1067,True,736,736,True
9,2535751,1067,1067,True,741,741,True
10,2535752,1067,1067,True,745,745,True
11,2535760,280,280,True,429,340,False
12,2535767,736,736,True,778,778,True
13,2535876,873,873,True,128,128,True
14,2535965,2554,2554,True,14,14,True
15,2535966,2554,2554,True,17,17,True
16,2535967,2554,2554,True,20,20,True
17,2535968,2554,2554,True,23,100,False
18,2535969,2554,2554,True,26,26,True
19,2535971,2554,2554,True,35,35,True
20,2535975,2554,2554,True,81,59,False
21,2535976,2554,2554,True,72,72,True
22,2535977,2554,2554,True,76,76,True
23,2535979,2554,2554,True,85,85,True
24,2535980,2554,2554,True,88,88,True
25,2535981,2554,2554,True,91,91,True
26,2535982,2554,2554,True,94,94,True
27,2536005,1451,1451,True,509,509,True
28,2536006,1451,1451,True,512,512,True
29,2536007,1451,1451,True,513,513,True
30,2536008,1451,1451,True,514,514,True
31,2536010,1451,1451,True,530,530,True
32,2536011,1451,1451,True,532,532,True
33,2536012,1451,1451,True,536,536,True
34,2536020,1451,1451,True,591,591,True
35,2536021,1451,1451,True,595,595,True
36,2536023,1451,1451,True,604,604,True
37,2536028,2581,2581,True,273,273,True
38,2536029,2581,2566,False,274,274,True
39,2536030,2581,2581,True,275,275,True
40,2536034,2581,2512,False,294,280,False
41,2536036,2581,2581,True,296,296,True
42,2536875,736,736,True,334,334,True
43,2536881,736,6249,False,346,100,False
44,2537224,4495,4495,True,196,196,True
45,2537241,2579,2579,True,614,614,True
46,2537243,2579,2579,True,624,624,True
47,2537244,2579,2579,True,635,635,True
48,2537246,2579,2372,False,679,679,True
49,2537248,2579,2579,True,681,681,True
50,2537249,2579,2579,True,683,683,True
51,2537250,2579,2579,True,697,697,True
52,2537251,2579,2579,True,703,703,True
53,2537253,2579,2579,True,708,708,True
54,2537258,1450,1450,True,397,397,True
55,2537259,1450,1450,True,399,399,True
56,2537260,1450,1450,True,401,401,True
57,2537261,1450,1450,True,403,403,True
58,2537286,423,423,True,510,510,True
59,2537497,750,750,True,378,378,True
60,2537498,750,194199,False,379,379,True
61,2537501,750,750,True,390,390,True
62,2537502,750,750,True,402,402,True
63,2537509,1066,1066,True,799,799,True
64,2537510,1066,1066,True,800,779,False
65,2537511,1066,1066,True,801,801,True
66,2537512,1066,1066,True,802,802,True
67,2537513,1066,1022,False,803,656,False
68,2537514,1066,1066,True,804,804,True
69,2537515,1066,1066,True,806,806,True
70,2537516,1066,1066,True,808,808,True
71,2537517,1066,1066,True,810,810,True
72,2537518,1066,1066,True,812,812,True
73,2537519,1066,1066,True,814,441,False
74,2537520,1066,1066,True,823,126,False
75,2537521,1066,1066,True,830,830,True
76,2537627,280,280,True,146,146,True
77,2537787,736,736,True,529,529,True
78,2537797,736,736,True,544,544,True
79,2537799,736,736,True,546,546,True
80,2538077,872,872,True,730,730,True
81,2538083,872,872,True,736,736,True
82,2538084,872,872,True,738,738,True
83,2538485,750,750,True,437,437,True
84,2538488,750,750,True,440,440,True
85,2538491,750,750,True,441,441,True
86,2538879,1451,1384,False,614,189,False
87,2538881,1451,1451,True,623,623,True
88,2538882,1451,1451,True,624,624,True
89,2538883,1451,1451,True,632,45,False
90,2538884,1451,1451,True,634,634,True
91,2549796,3,3,True,428,428,True
92,2549798,423,423,True,826,217,False
93,2549799,423,423,True,831,831,True
94,2549818,423,423,True,527,527,True
95,2549819,423,423,True,537,537,True
96,2549820,423,423,True,541,541,True
97,2549939,873,873,True,214,214,True
